Wall time;Step;Value
16.153.765.440.607.100;26628;0.185557678
16.153.766.892.465.600;26639;0.196608335
16.153.779.208.478.600;26739;0.152653873
16.153.787.716.171.400;26806;0.199497178
16.153.813.648.097.600;27006;0.136102349
16.153.824.403.767.100;27090;0.188885644
16.153.824.646.114.800;27092;0.149281189
16.153.829.748.075.100;27133;0.137046084
1.615.382.987.634.580;27134;0.153434098
16.153.833.165.352.000;27163;0.137958094
1.615.383.347.791.540;27165;0.153998464
16.153.845.733.024.900;27264;0.174573079
1.615.386.461.591.030;27414;0.148306966
16.153.872.810.616.700;27478;0.132479578
16.153.873.474.528.900;27484;0.091346212
16.153.874.267.661.500;27490;0.155753925
16.153.874.845.956.800;27494;0.153435692
16.153.875.022.335.200;27495;0.173525527
16.153.884.894.898.000;27570;0.164559543
16.153.890.147.647.000;27610;0.144292772
16.153.897.176.379.000;27665;0.17957966
16.153.912.947.907.600;27785;0.169643238
16.153.913.952.061.300;27793;0.170783371
16.153.920.118.565.100;27841;0.152222857
16.153.928.588.129.600;27905;0.134791568
16.153.929.038.687.400;27908;0.177553788
16.153.933.020.058.600;27939;0.1797463
16.153.934.198.348.400;27949;0.161859378
1.615.393.524.952.620;27956;0.142908603
1.615.393.750.526.490;27974;0.168405965
1.615.394.477.836.280;28031;0.126231
16.153.950.545.230.800;28075;0.190755099
1.615.396.214.380.230;28161;0.16604802
16.153.973.684.829.900;28252;0.130590022
16.153.973.979.491.400;28254;0.159792423
16.153.978.115.003.600;28286;0.164157599
1.615.398.052.121.420;28304;0.172440156
1.615.401.651.855.200;28587;0.160200149
1.615.401.992.241.440;28613;0.153601125
1.615.402.529.449.990;28657;0.173120946
16.154.032.070.751.800;28712;0.151775837
16.154.040.058.797.800;28774;0.188036636
16.154.041.792.181.900;28787;0.078126505
16.154.054.454.210.200;28879;0.169119164
16.154.058.006.067.900;28908;0.165206239
16.154.063.201.585.900;28947;0.180478767
