Wall time;Step;Value;;;
1.615.468.416.509.290;33967;3.0;;;
1.615.469.965.186.220;34085;3.0;;;
1.615.470.226.397.990;34104;3.0;;;
16.154.706.338.901.500;34136;3.0;;;
16.154.737.586.451.900;34372;3.0;;;
16.154.750.953.838.900;34480;3.0;;;
16.154.781.380.831.000;34698;3.0;;;
16.154.802.711.929.100;34862;3.0;;;
1.615.481.325.058.100;34935;3.0;;;
16.154.814.533.846.000;34944;3.0;;;
16.154.839.078.894.000;35119;3.0;;;
1.615.491.599.727.860;35690;3.0;;;
16.154.918.931.210.200;35711;3.0;;;
16.154.934.853.661.100;35820;3.0;;;
16.154.946.635.282.800;35906;3.0;;;
16.155.015.307.831.200;36430;3.0;;;
1.615.501.580.561.210;36434;3.0;;;
1.615.503.411.528.950;36567;3.0;;;
1.615.504.491.452.900;36646;3.0;;;
16.155.112.505.969.100;37155;3.0;;;
