Wall time;Step;Value
16.156.937.544.435.200;20060;32
1.615.693.774.972.080;20063;25
16.156.941.555.129.900;20139;29
16.156.941.560.415.700;20140;24
1.615.694.163.934.300;20142;17
16.156.943.689.606.000;20184;22
16.156.943.868.000.100;20187;30
16.156.945.284.050.100;20218;25
16.156.946.624.952.400;20245;32
1.615.694.684.831.350;20248;27
1.615.694.701.990.870;20253;33
16.156.949.838.280.000;20309;33
16.156.950.736.752.900;20324;20
1.615.695.114.899.020;20333;17
1.615.695.117.672.260;20335;24
16.156.953.735.561.900;20384;33
16.156.954.410.847.400;20398;23
16.156.956.902.437.600;20441;25
16.156.959.336.486.200;20486;47
16.156.961.628.895.200;20527;19
16.156.962.374.768.800;20540;42
1.615.696.238.622.290;20541;30
1.615.696.348.609.610;20561;25
1.615.696.358.552.350;20563;27
16.156.963.861.283.700;20568;38
16.156.964.471.715.200;20579;51
16.156.970.712.003.300;20690;33
16.156.971.850.247.100;20711;43
1.615.697.538.707.580;20779;11
16.156.975.507.360.900;20780;18
16.156.975.610.629.900;20783;22
16.156.975.616.973.000;20784;24
16.156.977.639.802.200;20823;38
16.156.978.131.512.600;20832;13
16.156.979.371.228.500;20856;35
16.156.981.066.252.000;20889;26
1.615.698.230.753.290;20914;28
16.156.984.178.754.600;20950;24
16.156.986.303.215.200;20988;24
16.156.988.281.471.000;21028;36
16.156.988.866.891.600;21036;52
1.615.699.062.971.380;21068;40
16.156.991.298.408.800;21081;22
16.156.994.806.586.600;21145;26
1.615.699.841.709.410;21210;37
16.156.999.614.146.400;21233;54
1.615.700.452.806.590;21317;35
1.615.700.476.819.400;21320;29
16.157.005.120.148.200;21325;17
16.157.008.871.953.500;21392;30
1.615.700.984.707.640;21410;15
16.157.013.872.770.000;21485;35
16.157.016.132.765.600;21524;31
16.157.016.301.100.500;21525;45
16.157.025.513.390.100;21682;23
16.157.028.164.060.600;21724;39
16.157.028.189.349.000;21725;25
16.157.031.914.422.800;21790;28
16.157.032.198.467.800;21796;29
1.615.703.333.592.130;21816;35
16.157.033.669.321.900;21822;18
16.157.034.979.480.600;21843;35
16.157.035.282.329.600;21849;9
16.157.038.846.688.600;21909;37
16.157.042.160.416.200;21968;28
16.157.043.948.942.600;22000;22
16.157.044.371.189.300;22007;26
16.157.056.089.169.200;22221;23
16.157.057.478.385.700;22246;51
161.570.584.119.111;22259;24
16.157.059.823.623.200;22286;36
1.615.706.029.959.000;22293;33
16.157.060.941.985.200;22304;28
16.157.061.163.826.400;22309;36
1.615.706.155.879.810;22317;46
16.157.062.502.218.000;22331;32
16.157.064.201.977.500;22359;64
1.615.706.809.500.270;22428;21
16.157.068.177.556.500;22431;22
161.570.708.955.744;22473;39
16.157.072.880.854.900;22508;45
16.157.075.060.140.400;22545;35
16.157.080.254.976.600;22636;17
16.157.081.264.944.100;22652;74
16.157.088.069.309.600;22759;43
1.615.708.852.829.860;22766;26
1.615.708.927.399.070;22778;23
16.157.092.595.286.200;22829;32
16.157.093.283.349.100;22840;29
16.157.093.289.143.100;22841;38
16.157.097.346.944.500;22931;53
16.157.097.516.886.800;22934;54
16.157.107.262.014.300;23081;69
16.157.107.445.838.700;23085;24
16.157.107.492.886.400;23086;35
16.157.108.749.785.400;23103;37
1.615.710.982.489.630;23118;25
16.157.110.539.148.300;23128;41
16.157.111.252.000.800;23139;42
16.157.111.610.936.800;23144;37
1.615.711.199.761.780;23149;25
16.157.112.238.950.400;23153;33
16.157.112.663.322.800;23159;36
16.157.114.090.797.300;23183;36
1.615.711.461.452.920;23193;46
16.157.116.236.982.700;23219;30
1.615.711.644.003.380;23221;20
1.615.711.888.074.160;23264;27
16.157.120.305.594.400;23287;24
16.157.123.389.535.000;23338;35
16.157.124.873.925.600;23362;45
1.615.712.598.887.670;23381;23
16.157.126.800.868.900;23395;28
16.157.128.938.303.600;23428;31
16.157.135.593.608.400;23541;30
16.157.138.585.762.400;23590;45
1.615.714.217.772.030;23651;16
16.157.143.290.479.500;23671;44
16.157.144.038.470.400;23682;21
16.157.145.494.569.300;23702;46
1.615.714.976.147.730;23762;28
16.157.150.509.688.500;23775;28
16.157.153.170.288.200;23812;28
16.157.154.584.818.400;23832;21
1.615.715.532.031.960;23843;34
16.157.160.834.111.600;23929;32
16.157.161.526.148.900;23939;47
16.157.170.803.268.900;24080;26
16.157.173.460.488.600;24117;18
16.157.173.631.320.600;24119;20
16.157.175.654.015.400;24148;44
16.157.178.362.424.200;24187;161
16.157.181.879.458.100;24235;20
16.157.185.018.979.000;24283;35
1.615.718.507.565.990;24285;51
1.615.718.563.009.960;24293;53
16.157.187.794.294.500;24323;24
16.157.189.403.936.400;24346;31
16.157.190.418.362.300;24360;62
16.157.194.512.028.000;24417;39
16.157.201.151.318.000;24513;50
16.157.204.085.590.100;24558;59
16.157.204.294.506.800;24562;58
16.157.208.144.247.200;24622;20
16.157.211.141.748.700;24668;30
16.157.213.118.040.900;24698;45
16.157.214.578.601.600;24720;64
1.615.721.520.131.130;24728;12
1.615.721.933.215.790;24791;36
1.615.722.368.830.320;24850;29
16.157.225.409.033.500;24880;32
16.157.226.969.587.600;24902;27
16.157.229.147.716.500;24935;32
16.157.230.960.541.300;24964;31
16.157.233.873.445.300;25009;34
16.157.236.448.923.500;25048;74
1.615.724.206.519.330;25134;40
1.615.724.692.964.710;25207;21
